Produkt,Kategori,Total kg CO2e/kg,Landbrug,ILUC,Forarbejdning,Emballage,Transport,Detail
Sandart,Fisk og skaldyr,3.84,1.86,1.13,0.68,0.14,0.03,0.00
Gedde,Fisk og skaldyr,3.84,1.86,1.13,0.68,0.14,0.03,0.00
Brasen,Fisk og skaldyr,7.48,2.44,2.02,2.69,0.14,0.19,0.00
Bækforel,Fisk og skaldyr,6.90,1.98,2.40,2.34,0.14,0.04,0.00
Havørred,Fisk og skaldyr,2.11,0.28,0.97,0.70,0.14,0.03,0.00
Helt,Fisk og skaldyr,7.10,1.98,2.40,2.54,0.14,0.04,0.00
Frugtsaft. blandet. sødet. koncentreret. plastflaske,Drikkevarer,2.34,1.06,0.15,0.23,0.31,0.59,0.01
Hyldebærsaft. koncentreret. plastflaske,Drikkevarer,3.44,1.71,0.84,0.23,0.31,0.34,0.01
Oliven. grønne. marinerede. konserves,Grøntsager og grøntsagsprodukter,1.84,0.56,0.38,0.21,0.51,0.17,0.01
Pære. konserves,Frugt og frugtprodukter,0.90,0.26,0.11,0.20,0.22,0.09,0.01
Nøddepasta med cacao. smørepålæg,Planteprodukter og -drikke,4.83,1.49,1.27,1.26,0.42,0.39,0.01
Appelsinjuice. plastflaske,Drikkevarer,1.41,0.53,0.12,0.08,0.31,0.37,0.01
Ananas. konserves,Frugt og frugtprodukter,1.10,0.21,0.07,0.22,0.22,0.37,0.01
Jordbærsyltetøj,Frugt og frugtprodukter,2.02,0.84,0.12,0.43,0.32,0.30,0.01
Rosiner. uden kerner,Frugt og frugtprodukter,3.16,1.62,0.54,0.41,0.26,0.32,0.01
Hindbærmarmelade,Frugt og frugtprodukter,2.02,0.84,0.12,0.43,0.32,0.30,0.01
Hare. kød,Kød og fjerkræ,3.26,1.52,1.10,-0.03,0.14,0.53,0.00
Kanin. kød,Kød og fjerkræ,3.26,1.52,1.10,-0.03,0.14,0.53,0.00
Fasan. kød og skind,Kød og fjerkræ,3.26,1.52,1.10,-0.03,0.14,0.53,0.00
Due. vildt. kød og skind,Kød og fjerkræ,3.26,1.52,1.10,-0.03,0.14,0.53,0.00
Byggryn,Korn og kornprodukter,1.35,0.77,0.35,-0.08,0.20,0.10,0.01
Havregryn. ikke beriget,Korn og kornprodukter,1.48,0.84,0.40,-0.08,0.20,0.10,0.01
Risengryn. grødris. polerede,Korn og kornprodukter,4.72,3.64,0.55,-0.05,0.20,0.38,0.01
Persille,Grøntsager og grøntsagsprodukter,0.40,0.15,0.08,0.00,0.14,0.03,0.01
Dild,Grøntsager og grøntsagsprodukter,0.40,0.15,0.08,0.00,0.14,0.03,0.01
Hvidløg,Grøntsager og grøntsagsprodukter,1.13,0.67,0.14,0.00,0.06,0.25,0.01
Purløg,Grøntsager og grøntsagsprodukter,0.37,0.17,0.10,0.00,0.06,0.03,0.01
Karse,Grøntsager og grøntsagsprodukter,0.40,0.15,0.08,0.00,0.14,0.03,0.01
Oliven. sorte. uden sten. i saltlage,Grøntsager og grøntsagsprodukter,1.84,0.56,0.38,0.21,0.51,0.17,0.01
Hasselnød. tørret,Nødder og frø,6.04,1.81,3.54,0.00,0.26,0.42,0.01
Solsikkefrø. afskallede. tørrede,Nødder og frø,2.61,0.95,1.10,0.00,0.26,0.28,0.01
Sesamfrø. afskallede,Nødder og frø,5.14,1.55,2.94,0.07,0.26,0.31,0.01
Valnødder. tørret,Nødder og frø,4.83,2.78,1.49,0.00,0.26,0.30,0.01
Cashewnødder. tørristet,Nødder og frø,9.94,3.32,7.12,-1.60,0.26,0.83,0.01
Græskarkerner. tørret,Nødder og frø,4.83,2.78,1.49,0.00,0.26,0.30,0.01
Honning,Smagsgivere og krydderier,0.79,0.13,0.04,0.14,0.41,0.07,0.01
Mælkeis,Mælk. mejeriprodukter og æg,2.91,0.61,0.31,1.29,0.51,0.16,0.02
Flødeis,Mælk. mejeriprodukter og æg,2.91,0.61,0.31,1.29,0.51,0.16,0.02
Ispind. limonade,Frugt og frugtprodukter,1.20,0.25,0.05,0.26,0.51,0.11,0.02
Eddike,Smagsgivere og krydderier,1.46,0.44,0.17,0.40,0.41,0.03,0.01
